ds,yhat
2020-05-18,1583.5502621379082
2020-05-19,1582.8590438637111
2020-05-20,1597.354548454428
2020-05-21,1585.1657452123577
2020-05-22,1603.1178475966617
2020-05-23,1594.1642286661063
2020-05-24,1613.2209914148389
2020-05-25,1622.8685297794427
2020-05-26,1624.4168128853776
2020-05-27,1641.2676222382663
2020-05-28,1631.4875511361136
2020-05-29,1639.4415134117671
2020-05-30,1620.4190621250796
2020-05-31,1629.2772164013568
2020-06-01,1628.5409569083
2020-06-02,1619.4696668704153
2020-06-03,1625.4204079866927
2020-06-04,1604.4218177352009
2020-06-05,1613.2060413905479
2020-06-06,1594.642556639141
2020-06-07,1603.574432680898
2020-06-08,1602.5213228463658
2020-06-09,1592.7458928832452
2020-06-10,1597.6168911670334
2020-06-11,1575.1826540826928
2020-06-12,1582.2024708357035
2020-06-13,1561.5796803754524
2020-06-14,1568.1970605792967
2020-06-15,1564.618829988421
2020-06-16,1552.155987976941
2020-06-17,1554.228225236563
2020-06-18,1528.9362247357926
2020-06-19,1533.0918049877446
2020-06-20,1509.6498059197709
2020-06-21,1529.576354271217
2020-06-22,1539.4476058899359
2020-06-23,1540.616212455172
2020-06-24,1556.5382688440282
2020-06-25,1545.3448292436306
2020-06-26,1563.8714101945552
2020-06-27,1555.0893935781892
2020-06-28,1573.9399258340547
2020-06-29,1583.034664899069
2020-06-30,1583.7201264012324
2020-07-01,1599.438880595112
2020-07-02,1588.3014334191848
2020-07-03,1607.1162501362667
2020-07-04,1598.8218218244742
2020-07-05,1618.3213553053656
2020-07-06,1628.1844197177431
2020-07-07,1629.7122808175998
2020-07-08,1646.3001523385187
2020-07-09,1636.0101744078877
2020-07-10,1655.602553381512
2020-07-11,1647.9687390531203
2020-07-12,1667.9671958121305
2020-07-13,1678.1260777367365
2020-07-14,1679.7095167477805
2020-07-15,1696.110608488872
2020-07-16,1685.3355098566528
2020-07-17,1704.1248227155638
2020-07-18,1695.357370977249
2020-07-19,1713.8862956362925
2020-07-20,1722.2418954454374
2020-07-21,1721.69791895068
2020-07-22,1735.63451692469
2020-07-23,1722.1116503671456
2020-07-24,1737.9003793357997
2020-07-25,1725.9159053720546
2020-07-26,1741.0529268404243
2020-07-27,1745.8876257858547
2020-07-28,1741.7430097294962
2020-07-29,1752.050837157427
2020-07-30,1734.9239432006495
2020-07-31,1747.1864133032568
2020-08-01,1731.8055009111822
2020-08-02,1743.7258720581426
2020-08-03,1745.5705188132702
2020-08-04,1738.7050877126387
2020-08-05,1746.5988735050087
2020-08-06,1727.3963147255934
2020-08-07,1736.2017788776573
2020-08-08,1717.7449391793207
2020-08-09,1726.9805582399667
2020-08-10,1726.5338111276596
2020-08-11,1717.76451049203
2020-08-12,1724.128165534921
2020-08-13,1703.747711269562
2020-08-14,1713.443370304259
2020-08-15,1696.1645517877419
2020-08-16,1706.824372920905
2020-08-17,1708.0011413511504
2020-08-18,1701.003534754825
2020-08-19,1709.2327120987534
2020-08-20,1690.7551714966357
2020-08-21,1702.3337935195138
2020-08-22,1686.8609498386961
2020-08-23,1699.1942369727233
